9gens1_g11-b1-i1	0.5103767315899161	0.5209361258653433	9	4
9gens2_g11-b1-i1	0.5115844183662681	0.4345113935313549	9	4
9gens3_g11-b1-i1	0.5039226361523526	0.5035663747198229	9	4
9gens4_g11-b1-i1	0.4886631251722097	0.5262665359992251	9	4
9gens5_g11-b1-i1	0.5331551655163762	0.448807994160375	9	4
9gens6_g11-b1-i1	0.4404611205553816	0.5032077838425342	9	4
9gens7_g11-b1-i1	0.5359332761282545	0.5268422765105683	9	4
9gens8_g11-b1-i1	0.5446860637403836	0.4825524616280928	9	4
9gens9_g11-b1-i1	0.455175426748993	0.5436713648918943	9	4
9gens10_g11-b1-i1	0.5184880788698725	0.485161307631733	9	4
9gens11_g11-b1-i1	0.43558746003660775	0.39031667801573855	9	4
9gens12_g11-b1-i1	0.4873413510741903	0.4880869811010779	9	4
9gens13_g11-b1-i1	0.5643815184588705	0.5120607607373091	9	4
9gens14_g11-b1-i1	0.47643576389573	0.4706565455499307	9	4
9gens15_g11-b1-i1	0.4365252274280667	0.4884637722017013	9	4
9gens16_g11-b1-i1	0.48300552463118107	0.4958397795113037	9	4
9gens17_g11-b1-i1	0.5277127054273936	0.5326460714320753	9	4
9gens18_g11-b1-i1	0.5471828068306767	0.5336570951577915	9	4
9gens19_g11-b1-i1	0.5070752152418356	0.4675806225345973	9	4
9gens20_g11-b1-i1	0.4815788185254013	0.5417795417680926	9	4
9gens21_g11-b1-i1	0.5177700366784326	0.5357703113970913	9	4
9gens22_g11-b1-i1	0.5762593339470088	0.5105953242015424	9	4
